Timestamp,How many hours per day do you spend on your phone?,What activities do you primarily engage in on your phone?,"On average, how many hours per day do you spend studying or doing homework?",How often do you check your phone during study sessions?,What is your CGPA?
3/8/2024 22:00:41,2-4,Social Media,2-4,Occasionally,2.9
3/8/2024 22:01:19,6-8,Social Media,2-4,Occasionally,3.4
3/8/2024 22:13:48,6-8,Social Media,2-4,Sometimes,3.38
3/8/2024 22:18:01,2-4,Social Media,2-4,Occasionally,3
3/8/2024 22:19:38,6-8,Social Media,1-2,Sometimes,3.7
3/8/2024 22:19:38,10-12,Social Media,1-2,Frequently,1.25
3/8/2024 22:19:49,2-4,Social Media,1-2,Frequently,3.5
3/8/2024 22:28:56,2-4,Social Media,2-4,Frequently,2.8
3/8/2024 22:32:50,6-8,Social Media,2-4,Sometimes,3.68
3/8/2024 22:33:44,6-8,Social Media,6-8,Sometimes,3.4
3/8/2024 22:39:44,2-4,Social Media,1-2,Frequently,2
3/8/2024 22:40:09,6-8,Social Media,2-4,Sometimes,3.7
3/8/2024 22:59:39,6-8,Social Media,1-2,Frequently,2.07
3/8/2024 23:01:09,2-4,Social Media,6-8,Sometimes,2.9
3/9/2024 0:05:10,6-8,Social Media,1-2,Frequently,4
3/9/2024 0:33:10,2-4,Gaming,1-2,Occasionally,3
3/9/2024 1:03:09,2-4,Social Media,2-4,Sometimes,3.8
3/9/2024 1:41:14,6-8,Gaming,2-4,Frequently,3.68
3/9/2024 7:34:11,4-6,Social Media,2-4,Sometimes,2
3/9/2024 8:35:52,2-4,Social Media,2-4,Sometimes,2.2
3/9/2024 8:40:55,6-8,Social Media,1-2,Frequently,2.35
3/9/2024 12:38:15,4-6,Working,2-4,Occasionally,2.5
3/9/2024 12:39:26,6-8,Gaming,1-2,Frequently,1.5
3/9/2024 13:33:36,4-6,Studying,10-12,Sometimes,3.97
3/9/2024 13:33:46,6-8,Social Media,6-8,Frequently,3.1
3/9/2024 13:33:51,6-8,Social Media,1-2,Occasionally,3.8
3/9/2024 13:34:21,2-4,Social Media,1-2,Frequently,2.4
3/9/2024 13:38:50,2-4,Social Media,1-2,Occasionally,3.25
3/9/2024 13:41:16,6-8,Social Media,2-4,Frequently,4
3/9/2024 13:44:04,10-12,Social Media,1-2,Frequently,3.5
3/9/2024 13:46:19,6-8,Social Media,1-2,Occasionally,3.4
3/9/2024 13:53:02,6-8,Social Media,2-4,Occasionally,3.9
3/9/2024 13:59:02,4-6,Social Media,1-2,Occasionally,3.7
3/9/2024 14:00:21,6-8,Social Media,2-4,Sometimes,3.9
3/9/2024 14:02:48,4-6,Social Media,2-4,Sometimes,3.6
3/9/2024 14:06:32,6-8,Gaming,2-4,Sometimes,3.3
3/9/2024 14:11:18,4-6,Social Media,1-2,Occasionally,3
3/9/2024 14:17:54,6-8,Social Media,1-2,Rarely or never,3.1
3/9/2024 14:23:17,6-8,Social Media,2-4,Sometimes,3.58
3/9/2024 14:35:58,6-8,Social Media,2-4,Frequently,4
3/9/2024 14:36:07,6-8,Social Media,1-2,Frequently,3
3/9/2024 14:39:28,2-4,Social Media,2-4,Occasionally,2.87
